,Pclass,Fancy,Male,Age,Fare,Known,E_C,E_Q,E_S,Survived
528,2,0,1,23.0,11.5,0,0,0,1,0
529,2,0,0,2.0,26.0,0,0,0,1,1
530,3,0,1,30.0,7.2292,0,1,0,0,0
531,3,0,1,17.0,7.2292,0,1,0,0,0
532,3,0,0,30.0,22.3583,0,1,0,0,1
533,3,0,0,30.0,8.6625,0,0,0,1,0
534,2,0,0,7.0,26.25,0,0,0,1,1
535,1,1,1,45.0,26.55,1,0,0,1,0
536,1,0,0,30.0,106.425,0,1,0,0,1
537,3,0,1,30.0,14.5,0,0,0,1,0
538,1,0,0,22.0,49.5,1,1,0,0,1
539,1,0,0,36.0,71.0,1,0,0,1,1
540,3,0,0,9.0,31.275,0,0,0,1,0
541,3,0,0,11.0,31.275,0,0,0,1,0
542,2,0,1,32.0,26.0,0,0,0,1,1
543,1,0,1,50.0,106.425,1,1,0,0,0
544,1,0,1,64.0,26.0,0,0,0,1,0
545,2,0,0,19.0,26.0,0,0,0,1,1
546,2,0,1,30.0,13.8625,0,1,0,0,1
547,3,0,1,33.0,20.525,0,0,0,1,0
548,2,1,1,8.0,36.75,0,0,0,1,1
549,1,0,1,17.0,110.8833,1,1,0,0,1
550,2,0,1,27.0,26.0,0,0,0,1,0
551,3,0,1,30.0,7.8292,0,0,1,0,0
552,3,0,1,22.0,7.225,0,1,0,0,1
553,3,0,0,22.0,7.775,0,0,0,1,1
554,1,0,1,62.0,26.55,0,0,0,1,0
555,1,1,0,48.0,39.6,1,1,0,0,1
556,1,0,1,30.0,227.525,0,1,0,0,0
557,1,0,0,39.0,79.65,1,0,0,1,1
558,3,0,0,36.0,17.4,0,0,0,1,1
559,3,0,1,30.0,7.75,0,0,1,0,0
560,3,0,1,40.0,7.8958,0,0,0,1,0
561,2,0,1,28.0,13.5,0,0,0,1,0
562,3,0,1,30.0,8.05,0,0,0,1,0
563,3,0,0,30.0,8.05,0,0,0,1,0
564,3,0,1,24.0,24.15,0,0,0,1,0
565,3,0,1,19.0,7.8958,0,0,0,1,0
566,3,0,0,29.0,21.075,0,0,0,1,0
567,3,0,1,30.0,7.2292,0,1,0,0,0
568,3,0,1,32.0,7.8542,0,0,0,1,1
569,2,0,1,62.0,10.5,0,0,0,1,1
570,1,0,0,53.0,51.4792,1,0,0,1,1
571,1,0,1,36.0,26.3875,1,0,0,1,1
572,3,0,0,30.0,7.75,0,0,1,0,1
573,3,0,1,16.0,8.05,0,0,0,1,0
574,3,0,1,19.0,14.5,0,0,0,1,0
575,2,0,0,34.0,13.0,0,0,0,1,1
576,1,0,0,39.0,55.9,1,0,0,1,1
577,3,0,0,30.0,14.4583,0,1,0,0,0
578,3,0,1,32.0,7.925,0,0,0,1,1
579,2,0,0,25.0,30.0,0,0,0,1,1
580,1,0,0,39.0,110.8833,1,1,0,0,1
581,2,0,1,54.0,26.0,0,0,0,1,0
582,1,0,1,36.0,40.125,1,1,0,0,0
583,3,0,1,30.0,8.7125,0,1,0,0,0
584,1,0,0,18.0,79.65,1,0,0,1,1
585,2,0,1,47.0,15.0,0,0,0,1,0
586,1,0,1,60.0,79.2,1,1,0,0,1
587,3,0,1,22.0,8.05,0,0,0,1,0
588,3,0,1,30.0,8.05,0,0,0,1,0
589,3,0,1,35.0,7.125,0,0,0,1,0
590,1,0,0,52.0,78.2667,1,1,0,0,1
591,3,0,1,47.0,7.25,0,0,0,1,0
592,3,0,0,30.0,7.75,0,0,1,0,0
593,2,0,1,37.0,26.0,0,0,0,1,0
594,3,0,1,36.0,24.15,0,0,0,1,0
595,2,0,0,30.0,33.0,0,0,0,1,1
596,3,0,1,49.0,0.0,0,0,0,1,0
597,3,0,1,30.0,7.225,0,1,0,0,0
598,1,1,1,49.0,56.9292,1,1,0,0,1
599,2,0,0,24.0,27.0,0,0,0,1,1
600,3,0,1,30.0,7.8958,0,0,0,1,0
601,1,0,1,30.0,42.4,0,0,0,1,0
602,3,0,1,44.0,8.05,0,0,0,1,0
603,1,0,1,35.0,26.55,0,1,0,0,1
604,3,0,1,36.0,15.55,0,0,0,1,0
605,3,0,1,30.0,7.8958,0,0,0,1,0
606,1,0,1,27.0,30.5,0,0,0,1,1
607,2,0,0,22.0,41.5792,0,1,0,0,1
608,1,0,0,40.0,153.4625,1,0,0,1,1
609,3,0,0,39.0,31.275,0,0,0,1,0
610,3,0,1,30.0,7.05,0,0,0,1,0
611,3,0,0,30.0,15.5,0,0,1,0,1
612,3,0,1,30.0,7.75,0,0,1,0,0
613,3,0,1,35.0,8.05,0,0,0,1,0
614,2,0,0,24.0,65.0,0,0,0,1,1
615,3,0,1,34.0,14.4,0,0,0,1,0
616,3,0,0,26.0,16.1,0,0,0,1,0
617,2,0,0,4.0,39.0,1,0,0,1,1
618,2,0,1,26.0,10.5,0,0,0,1,0
619,3,0,1,27.0,14.4542,0,1,0,0,0
620,1,0,1,42.0,52.5542,1,0,0,1,1
621,3,0,1,20.0,15.7417,0,1,0,0,1
622,3,0,1,21.0,7.8542,0,0,0,1,0
623,3,0,1,21.0,16.1,0,0,0,1,0
624,1,0,1,61.0,32.3208,1,0,0,1,0
625,2,1,1,57.0,12.35,0,0,1,0,0
626,1,0,0,21.0,77.9583,1,0,0,1,1
627,3,0,1,26.0,7.8958,0,0,0,1,0
628,3,0,1,30.0,7.7333,0,0,1,0,0
629,1,0,1,80.0,30.0,1,0,0,1,1
630,3,0,1,51.0,7.0542,0,0,0,1,0
631,1,1,1,32.0,30.5,1,1,0,0,1
632,1,0,1,30.0,0.0,0,0,0,1,0
633,3,0,0,9.0,27.9,0,0,0,1,0
634,2,0,0,28.0,13.0,0,0,0,1,1
635,3,0,1,32.0,7.925,0,0,0,1,0
636,2,0,1,31.0,26.25,0,0,0,1,0
637,3,0,0,41.0,39.6875,0,0,0,1,0
638,3,0,1,30.0,16.1,0,0,0,1,0
639,3,0,1,20.0,7.8542,0,0,0,1,0
640,1,1,0,24.0,69.3,1,1,0,0,1
641,3,0,0,2.0,27.9,0,0,0,1,0
642,3,0,1,30.0,56.4958,0,0,0,1,1
643,3,0,0,0.75,19.2583,0,1,0,0,1
644,1,0,1,48.0,76.7292,1,1,0,0,1
645,3,0,1,19.0,7.8958,0,0,0,1,0
646,1,1,1,56.0,35.5,1,1,0,0,1
647,3,0,1,30.0,7.55,0,0,0,1,0
648,3,0,0,23.0,7.55,0,0,0,1,1
649,3,0,1,30.0,7.8958,0,0,0,1,0
650,2,0,0,18.0,23.0,0,0,0,1,1
651,3,0,1,21.0,8.4333,0,0,0,1,0
652,3,0,0,30.0,7.8292,0,0,1,0,1
653,3,0,0,18.0,6.75,0,0,1,0,0
654,2,0,1,24.0,73.5,0,0,0,1,0
655,3,0,1,30.0,7.8958,0,0,0,1,0
656,3,0,0,32.0,15.5,0,0,1,0,0
657,2,0,1,23.0,13.0,0,0,0,1,0
658,1,0,1,58.0,113.275,1,1,0,0,0
659,1,1,1,50.0,133.65,0,0,0,1,1
660,3,0,1,40.0,7.225,0,1,0,0,0
661,1,0,1,47.0,25.5875,1,0,0,1,0
662,3,0,1,36.0,7.4958,0,0,0,1,0
663,3,0,1,20.0,7.925,0,0,0,1,1
664,2,0,1,32.0,73.5,0,0,0,1,0
665,2,0,1,25.0,13.0,0,0,0,1,0
666,3,0,1,30.0,7.775,0,0,0,1,0
667,3,0,1,43.0,8.05,0,0,0,1,0
668,1,0,0,30.0,52.0,1,0,0,1,1
669,2,0,0,40.0,39.0,0,0,0,1,1
670,1,0,1,31.0,52.0,1,0,0,1,0
671,2,0,1,70.0,10.5,0,0,0,1,0
672,2,0,1,31.0,13.0,0,0,0,1,1
673,2,0,1,30.0,0.0,0,0,0,1,0
674,3,0,1,18.0,7.775,0,0,0,1,0
675,3,0,1,24.5,8.05,0,0,0,1,0
676,3,0,0,18.0,9.8417,0,0,0,1,1
677,3,0,0,43.0,46.9,0,0,0,1,0
678,1,0,1,36.0,512.3292,1,1,0,0,1
679,3,0,0,30.0,8.1375,0,0,1,0,0
680,1,0,1,27.0,76.7292,1,1,0,0,1
681,3,0,1,20.0,9.225,0,0,0,1,0
682,3,0,1,14.0,46.9,0,0,0,1,0
683,2,0,1,60.0,39.0,0,0,0,1,0
684,2,0,1,25.0,41.5792,0,1,0,0,0
685,3,0,1,14.0,39.6875,0,0,0,1,0
686,3,0,1,19.0,10.1708,0,0,0,1,0
687,3,0,1,18.0,7.7958,0,0,0,1,0
688,1,0,0,15.0,211.3375,1,0,0,1,1
689,1,0,1,31.0,57.0,1,0,0,1,1
690,3,0,0,4.0,13.4167,0,1,0,0,1
691,3,0,1,30.0,56.4958,0,0,0,1,1
692,3,0,1,25.0,7.225,0,1,0,0,0
693,1,1,1,60.0,26.55,0,0,0,1,0
694,2,0,1,52.0,13.5,0,0,0,1,0
695,3,0,1,44.0,8.05,0,0,0,1,0
696,3,0,0,30.0,7.7333,0,0,1,0,1
697,1,0,1,49.0,110.8833,1,1,0,0,0
698,3,0,1,42.0,7.65,1,0,0,1,0
699,1,0,0,18.0,227.525,1,1,0,0,1
700,1,0,1,35.0,26.2875,1,0,0,1,1
701,3,0,0,18.0,14.4542,0,1,0,0,0
702,3,0,1,25.0,7.7417,0,0,1,0,0
703,3,0,1,26.0,7.8542,0,0,0,1,0
704,2,0,1,39.0,26.0,0,0,0,1,0
705,2,0,0,45.0,13.5,0,0,0,1,1
706,1,0,1,42.0,26.2875,1,0,0,1,1
707,1,0,0,22.0,151.55,0,0,0,1,1
708,3,1,1,30.0,15.2458,0,1,0,0,1
709,1,1,0,24.0,49.5042,1,1,0,0,1
710,1,0,1,30.0,26.55,1,0,0,1,0
711,1,0,1,48.0,52.0,1,0,0,1,1
712,3,0,1,29.0,9.4833,0,0,0,1,0
713,2,0,1,52.0,13.0,0,0,0,1,0
714,3,0,1,19.0,7.65,1,0,0,1,0
715,1,0,0,38.0,227.525,1,1,0,0,1
716,2,0,0,27.0,10.5,1,0,0,1,1
717,3,0,1,30.0,15.5,0,0,1,0,0
718,3,0,1,33.0,7.775,0,0,0,1,0
719,2,0,0,6.0,33.0,0,0,0,1,1
720,3,0,1,17.0,7.0542,0,0,0,1,0
721,2,0,1,34.0,13.0,0,0,0,1,0
722,2,0,1,50.0,13.0,0,0,0,1,0
723,1,0,1,27.0,53.1,1,0,0,1,1
724,3,0,1,20.0,8.6625,0,0,0,1,0
725,2,0,0,30.0,21.0,0,0,0,1,1
726,3,0,0,30.0,7.7375,0,0,1,0,1
727,2,0,1,25.0,26.0,0,0,0,1,0
728,3,0,0,25.0,7.925,0,0,0,1,0
729,1,0,0,29.0,211.3375,1,0,0,1,1
730,3,0,1,11.0,18.7875,0,1,0,0,0
731,2,0,1,30.0,0.0,0,0,0,1,0
732,2,0,1,23.0,13.0,0,0,0,1,0
733,2,0,1,23.0,13.0,0,0,0,1,0
734,3,0,1,28.5,16.1,0,0,0,1,0
735,3,0,0,48.0,34.375,0,0,0,1,0
736,1,0,1,35.0,512.3292,1,1,0,0,1
737,3,0,1,30.0,7.8958,0,0,0,1,0
738,3,0,1,30.0,7.8958,0,0,0,1,0
739,1,0,1,30.0,30.0,1,0,0,1,1
740,1,0,1,36.0,78.85,1,0,0,1,0
741,1,0,0,21.0,262.375,1,1,0,0,1
742,3,0,1,24.0,16.1,0,0,0,1,0
743,3,0,1,31.0,7.925,0,0,0,1,1
744,1,1,1,70.0,71.0,1,0,0,1,0
745,3,0,1,16.0,20.25,0,0,0,1,0
746,2,0,0,30.0,13.0,0,0,0,1,1
747,1,0,1,19.0,53.1,1,0,0,1,0
748,3,0,1,31.0,7.75,0,0,1,0,0
749,2,0,0,4.0,23.0,0,0,0,1,1
750,3,1,1,6.0,12.475,1,0,0,1,1
751,3,0,1,33.0,9.5,0,0,0,1,0
752,3,0,1,23.0,7.8958,0,0,0,1,0
753,2,0,0,48.0,65.0,0,0,0,1,1
754,2,1,1,0.67,14.5,0,0,0,1,1
755,3,0,1,28.0,7.7958,0,0,0,1,0
756,2,0,1,18.0,11.5,0,0,0,1,0
757,3,0,1,34.0,8.05,0,0,0,1,0
758,1,1,0,33.0,86.5,1,0,0,1,1
759,3,0,1,30.0,14.5,0,0,0,1,0
760,3,0,1,41.0,7.125,0,0,0,1,0
761,3,0,1,20.0,7.2292,0,1,0,0,1
762,1,0,0,36.0,120.0,1,0,0,1,1
763,3,0,1,16.0,7.775,0,0,0,1,0
764,1,0,0,51.0,77.9583,1,0,0,1,1
765,1,1,1,30.0,39.6,0,1,0,0,0
766,3,0,0,30.5,7.75,0,0,1,0,0
767,3,0,1,30.0,24.15,0,0,1,0,0
768,3,0,1,32.0,8.3625,0,0,0,1,0
769,3,0,1,24.0,9.5,0,0,0,1,0
770,3,0,1,48.0,7.8542,0,0,0,1,0
771,2,0,0,57.0,10.5,1,0,0,1,0
772,3,0,1,30.0,7.225,0,1,0,0,0
773,2,0,0,54.0,23.0,0,0,0,1,1
774,3,0,1,18.0,7.75,0,0,0,1,0
775,3,0,1,30.0,7.75,1,0,1,0,0
776,3,0,0,5.0,12.475,0,0,0,1,1
777,3,0,1,30.0,7.7375,0,0,1,0,0
778,1,0,0,43.0,211.3375,1,0,0,1,1
779,3,0,0,13.0,7.2292,0,1,0,0,1
780,1,0,0,17.0,57.0,1,0,0,1,1
781,1,0,1,29.0,30.0,1,0,0,1,0
782,3,0,1,30.0,23.45,0,0,0,1,0
783,3,0,1,25.0,7.05,0,0,0,1,0
784,3,0,1,25.0,7.25,0,0,0,1,0
785,3,0,0,18.0,7.4958,0,0,0,1,1
786,3,1,1,8.0,29.125,0,0,1,0,0
787,3,1,1,1.0,20.575,0,0,0,1,1
788,1,0,1,46.0,79.2,1,1,0,0,0
789,3,0,1,30.0,7.75,0,0,1,0,0
790,2,0,1,16.0,26.0,0,0,0,1,0
791,3,0,0,30.0,69.55,0,0,0,1,0
792,1,0,1,30.0,30.6958,0,1,0,0,0
793,3,0,1,25.0,7.8958,0,0,0,1,0
794,2,0,1,39.0,13.0,0,0,0,1,0
795,1,1,0,49.0,25.9292,1,0,0,1,1
796,3,0,0,31.0,8.6833,0,0,0,1,1
797,3,0,1,30.0,7.2292,0,1,0,0,0
798,3,0,0,30.0,24.15,0,0,0,1,0
799,2,0,1,34.0,13.0,0,0,0,1,0
800,2,0,0,31.0,26.25,0,0,0,1,1
801,1,1,1,11.0,120.0,1,0,0,1,1
802,3,1,1,0.42,8.5167,0,1,0,0,1
803,3,0,1,27.0,6.975,0,0,0,1,1
804,3,0,1,31.0,7.775,0,0,0,1,0
805,1,0,1,39.0,0.0,1,0,0,1,0
806,3,0,0,18.0,7.775,0,0,0,1,0
807,2,0,1,39.0,13.0,0,0,0,1,0
808,1,0,0,33.0,53.1,1,0,0,1,1
809,3,0,1,26.0,7.8875,0,0,0,1,0
810,3,0,1,39.0,24.15,0,0,0,1,0
811,2,0,1,35.0,10.5,0,0,0,1,0
812,3,0,0,6.0,31.275,0,0,0,1,0
813,3,0,1,30.5,8.05,0,0,0,1,0
814,1,0,1,30.0,0.0,1,0,0,1,0
815,3,0,0,23.0,7.925,0,0,0,1,0
816,2,0,1,31.0,37.0042,0,1,0,0,0
817,3,0,1,43.0,6.45,0,0,0,1,0
818,3,1,1,10.0,27.9,0,0,0,1,0
819,1,0,0,52.0,93.5,1,0,0,1,1
820,3,0,1,27.0,8.6625,0,0,0,1,1
821,1,1,1,38.0,0.0,0,0,0,1,0
822,3,0,0,27.0,12.475,1,0,0,1,1
823,3,1,1,2.0,39.6875,0,0,0,1,0
824,3,0,1,30.0,6.95,0,0,1,0,0
825,3,0,1,30.0,56.4958,0,0,0,1,0
826,2,1,1,1.0,37.0042,0,1,0,0,1
827,3,0,1,30.0,7.75,0,0,1,0,1
828,3,0,0,15.0,14.4542,0,1,0,0,1
829,2,1,1,0.83,18.75,0,0,0,1,1
830,3,0,1,30.0,7.2292,0,1,0,0,0
831,3,0,1,23.0,7.8542,0,0,0,1,0
832,3,0,1,18.0,8.3,0,0,0,1,0
833,1,0,0,39.0,83.1583,1,1,0,0,1
834,3,0,1,21.0,8.6625,0,0,0,1,0
835,3,0,1,30.0,8.05,0,0,0,1,0
836,3,0,1,32.0,56.4958,0,0,0,1,1
837,1,0,1,30.0,29.7,1,1,0,0,1
838,3,0,1,20.0,7.925,0,0,0,1,0
839,2,0,1,16.0,10.5,0,0,0,1,0
840,1,0,0,30.0,31.0,0,1,0,0,1
841,3,0,1,34.5,6.4375,0,1,0,0,0
842,3,0,1,17.0,8.6625,0,0,0,1,0
843,3,0,1,42.0,7.55,0,0,0,1,0
844,3,0,1,30.0,69.55,0,0,0,1,0
845,3,0,1,35.0,7.8958,0,1,0,0,0
846,2,1,1,28.0,33.0,0,0,0,1,0
847,1,0,0,30.0,89.1042,1,1,0,0,1
848,3,1,1,4.0,31.275,0,0,0,1,0
849,3,0,1,74.0,7.775,0,0,0,1,0
850,3,0,0,9.0,15.2458,0,1,0,0,0
851,1,0,0,16.0,39.4,1,0,0,1,1
852,2,0,0,44.0,26.0,0,0,0,1,0
853,3,0,0,18.0,9.35,0,0,0,1,1
854,1,0,0,45.0,164.8667,0,0,0,1,1
855,1,0,1,51.0,26.55,1,0,0,1,1
856,3,0,0,24.0,19.2583,0,1,0,0,1
857,3,0,1,30.0,7.2292,0,1,0,0,0
858,3,0,1,41.0,14.1083,0,0,0,1,0
859,2,0,1,21.0,11.5,0,0,0,1,0
860,1,0,0,48.0,25.9292,1,0,0,1,1
861,3,0,0,30.0,69.55,0,0,0,1,0
862,2,0,1,24.0,13.0,0,0,0,1,0
863,2,0,0,42.0,13.0,0,0,0,1,1
864,2,0,0,27.0,13.8583,0,1,0,0,1
865,1,0,1,31.0,50.4958,1,0,0,1,0
866,3,0,1,30.0,9.5,0,0,0,1,0
867,3,1,1,4.0,11.1333,0,0,0,1,1
868,3,0,1,26.0,7.8958,0,0,0,1,0
869,1,0,0,47.0,52.5542,1,0,0,1,1
870,1,0,1,33.0,5.0,1,0,0,1,0
871,3,0,1,47.0,9.0,0,0,0,1,0
872,2,0,0,28.0,24.0,0,1,0,0,1
873,3,0,0,15.0,7.225,0,1,0,0,1
874,3,0,1,20.0,9.8458,0,0,0,1,0
875,3,0,1,19.0,7.8958,0,0,0,1,0
876,3,0,1,30.0,7.8958,0,0,0,1,0
877,1,0,0,56.0,83.1583,1,1,0,0,1
878,2,0,0,25.0,26.0,0,0,0,1,1
879,3,0,1,33.0,7.8958,0,0,0,1,0
880,3,0,0,22.0,10.5167,0,0,0,1,0
881,2,0,1,28.0,10.5,0,0,0,1,0
882,3,0,1,25.0,7.05,0,0,0,1,0
883,3,0,0,39.0,29.125,0,0,1,0,0
884,2,1,1,27.0,13.0,0,0,0,1,0
885,1,0,0,19.0,30.0,1,0,0,1,1
886,3,0,0,30.0,23.45,0,0,0,1,0
887,1,0,1,26.0,30.0,1,1,0,0,1
888,3,0,1,32.0,7.75,0,0,1,0,0
